tag;precision;recall
subst;nan;0,0
passive;0,0;0,0
insert;0,54748603352;0,285714285714
lex;0,621485943775;0,52148272957
deriv;1,0;0,0125
agrcase;0,5;0,00334448160535
constr;0,510297482838;0,33037037037
syntax;0,25;0,0185185185185
ortho;0,742978723404;0,667941851568
transp;nan;0,0
prep;0,0714285714286;0,0125
conj;0,7109375;0,4375
gov_w_prep;0,7;0,0148619957537
num;0,8;0,030534351145
ref;0,507246376812;0,220125786164
typo;0,0;0,0
transfer;0,333333333333;0,0232558139535
del;0,487179487179;0,201058201058
morph;0,375;0,0322580645161
wo;0,491803278689;0,277777777778
agrnum;0,5;0,00757575757576
refl;0,65625;0,538461538462
agrgender;0,459459459459;0,116438356164
lex_wo_conj;0,602088167053;0,478341013825
hyphen;0,594594594595;0,709677419355
cs;0,0;0,0
neg;0,0;0,0
agrpers;nan;0,0
misspell;0,333333333333;0,0125
space;0,816666666667;0,644736842105
syntax_wo_others;0,454545454545;0,0684931506849
idiom;0,0;0,0
aux;nan;0,0
not-clear;0,454545454545;0,0777202072539
ortho_wo_others;0,558219178082;0,459154929577
agrgerund;nan;0,0
punc;0,5;0,222222222222
asp;0,567796610169;0,266932270916
brev;0,0;0,0
gov;0,384615384615;0,0124378109453
graph;nan;0,0
coord;nan;0,0
par;0,166666666667;0,0238095238095
tense;0,0;0,0
translit;nan;0,0
infl;1,0;0,00877192982456
phon;0,0;0,0
