tag;precision;recall
subst;0,25;0,0119402985075
passive;0,0;0,0
insert;0,653179190751;0,334319526627
lex;0,634357005758;0,540916530278
deriv;0,25;0,0151515151515
agrcase;0,307692307692;0,0138888888889
constr;0,468822170901;0,331699346405
syntax;0,222222222222;0,021978021978
ortho;0,744915254237;0,654017857143
transp;nan;0,0
prep;0,166666666667;0,0240963855422
conj;0,801587301587;0,454954954955
gov_w_prep;0,36;0,0381355932203
num;0,285714285714;0,0138888888889
ref;0,486486486486;0,233766233766
typo;nan;0,0
transfer;0,5;0,00396825396825
del;0,477178423237;0,195578231293
morph;0,857142857143;0,0545454545455
wo;0,514285714286;0,272727272727
agrnum;0,5;0,0141843971631
refl;0,777777777778;0,446808510638
agrgender;0,461538461538;0,0428571428571
lex_wo_conj;0,616972477064;0,485559566787
hyphen;0,784615384615;0,671052631579
cs;0,0;0,0
neg;0,0;0,0
agrpers;nan;0,0
misspell;0,0;0,0
space;0,768;0,671328671329
syntax_wo_others;0,333333333333;0,0535714285714
idiom;0,0;0,0
aux;nan;0,0
not-clear;0,621951219512;0,275675675676
ortho_wo_others;0,527987897126;0,486072423398
agrgerund;nan;0,0
punc;0,545454545455;0,352941176471
asp;0,486111111111;0,290456431535
brev;1,0;0,0243902439024
gov;0,25;0,00253807106599
graph;0,2;0,0217391304348
coord;nan;0,0
par;0,166666666667;0,04
tense;0,125;0,0243902439024
translit;nan;0,0
infl;0,333333333333;0,0392156862745
phon;nan;0,0
